country,designation,points,price,province,region_1,taster_name,taster_twitter_handle,title,variety,winery,year
Australia,Made With Organic Grapes,86,15.0,South Australia,South Australia,Joe Czerwinski,@JoeCz,Yalumba 2022 Made With Organic Grapes Chardonnay (South Australia),Chardonnay,Yalumba,[2022]
France,Les Vénérables Vieilles Vignes,88,37.0,Burgundy,Chablis,Roger Voss,@vossroger,La Chablisienne 2012 Les Vénérables Vieilles Vignes  (Chablis),Chardonnay,La Chablisienne,[2012]
US,October Night,90,25.0,California,Arroyo Seco,Matt Kettmann,@mattkettmann,J. Lohr 2021 October Night Chardonnay (Arroyo Seco),Chardonnay,J. Lohr,[2021]
Argentina,Reserve,85,18.0,Other,San Juan,Michael Schachner,@wineschach,Finca Las Moras 2013 Reserve Chardonnay (San Juan),Chardonnay,Finca Las Moras,[2013]
US,Whiteline No Oak,87,22.0,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Buried Cane 2015 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Chardonnay,Buried Cane,[2015]
US,South River,96,53.0,California,Russian River Valley,Virginie Boone,@vboone,Rochioli 2020 South River Chardonnay (Russian River Valley),Chardonnay,Rochioli,[2020]
France,Le Montrachet,96,263.0,Burgundy,Montrachet,Roger Voss,@vossroger,Louis Latour 2020 Le Montrachet  (Montrachet),Chardonnay,Louis Latour,[2020]
US,Sweetwater,96,53.0,California,Russian River Valley,Virginie Boone,@vboone,Rochioli 2020 Sweetwater Chardonnay (Russian River Valley),Chardonnay,Rochioli,[2020]
France,Les Chenevottes Premier Cru,95,67.0,Burgundy,Chassagne-Montrachet,Roger Voss,@vossroger,Philippe Colin 2020 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Chardonnay,Philippe Colin,[2020]
Italy,Vigneto Santa Cecilia,88,24.0,Veneto,Valdadige,Joe Czerwinski,@JoeCz,Tommasi 2007 Vigneto Santa Cecilia Chardonnay (Valdadige),Chardonnay,Tommasi,[]
Italy,Pas Dosé Aligi Sassu,92,55.0,Lombardy,Franciacorta,Kerin O’Keefe,@kerinokeefe,Majolini 2012 Pas Dosé Aligi Sassu Chardonnay (Franciacorta),Chardonnay,Majolini,[2012]
France,Blagny Premier Cru,92,62.0,Burgundy,Meursault,Roger Voss,@vossroger,Henri de Villamont 2016 Blagny Premier Cru  (Meursault),Chardonnay,Henri de Villamont,[2016]
US,Battonage,87,23.0,California,El Dorado,Virginie Boone,@vboone,Lava Cap 2016 Battonage Chardonnay (El Dorado),Chardonnay,Lava Cap,[2016]
US,Coastview Vineyard,91,37.0,California,Monterey County,Matt Kettmann,@mattkettmann,Big Basin 2020 Coastview Vineyard Chardonnay (Monterey County),Chardonnay,Big Basin,[2020]
US,Rincon Vineyard,91,34.0,California,Arroyo Grande Valley,Matt Kettmann,@mattkettmann,Testarossa 2021 Rincon Vineyard Chardonnay (Arroyo Grande Valley),Chardonnay,Testarossa,[2021]
US,Gap's Crown Vineyard,93,41.0,California,Sonoma Coast,Virginie Boone,@vboone,Lutum 2020 Gap's Crown Vineyard Chardonnay (Sonoma Coast),Chardonnay,Lutum,[2020]
US,Estate Reserve,93,35.0,California,Carneros,Virginie Boone,@vboone,Artesa 2020 Estate Reserve Chardonnay (Carneros),Chardonnay,Artesa,[2020]
US,La Reyna Blanca Vineyard,89,30.0,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Alleromb 2020 La Reyna Blanca Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Alleromb,[2020]
US,StevensSteel,89,22.0,Washington,Yakima Valley,Sean P. Sullivan,@wawinereport,Stevens 2022 StevensSteel Chardonnay (Yakima Valley),Chardonnay,Stevens,[2022]
US,Tinaquaic Vineyard,92,34.0,California,Santa Maria Valley,Matt Kettmann,@mattkettmann,Foxen 2020 Tinaquaic Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen,[2020]
US,Dijon Clone,90,33.0,Washington,Yakima Valley,Sean P. Sullivan,@wawinereport,Array 2018 Dijon Clone Chardonnay (Yakima Valley),Chardonnay,Array,[2018]
US,Gravel Ridge Vineyard,90,32.0,California,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Cooper-Garrod 2018 Gravel Ridge Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,Cooper-Garrod,[2018]
France,Grande Réserve du Président,85,13.0,Burgundy,Mâcon-Villages,Roger Voss,@vossroger,Cave de Viré 2021 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,Cave de Viré,[2021]
France,Bin 068,85,12.0,France Other,Vin de France,Lauren Buzzeo,@laurbuzz,Kiwi Cuvée 2020 Bin 068 Chardonnay (Vin de France),Chardonnay,Kiwi Cuvée,[2020]
France,Mumm de Cramant Blanc de Blancs,92,107.0,Champagne,Champagne,Roger Voss,@vossroger,G. H. Mumm NV Mumm de Cramant Blanc de Blancs Chardonnay (Champagne),Chardonnay,G. H. Mumm,[]
France,Grande Réserve Blanc de Blancs Grand Cru Brut,92,113.0,Champagne,Champagne,Roger Voss,@vossroger,Jean Milan NV Grande Réserve Blanc de Blancs Grand Cru Brut Chardonnay (Champagne),Chardonnay,Jean Milan,[]
France,Oenophile Premier Cru Blanc de Blancs Extra Brut,92,88.0,Champagne,Champagne,Roger Voss,@vossroger,Pierre Gimonnet et Fils 2011 Oenophile Premier Cru Blanc de Blancs Extra Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils,[]
Argentina,Bramare Marchiori Vineyard,90,31.0,Mendoza Province,Perdriel,Michael Schachner,@wineschach,Viña Cobos 2021 Bramare Marchiori Vineyard Chardonnay (Perdriel),Chardonnay,Viña Cobos,[2021]
US,Lola Evergreen Vineyard,90,30.0,Washington,Ancient Lakes,Sean P. Sullivan,@wawinereport,Efeste 2020 Lola Evergreen Vineyard Chardonnay (Ancient Lakes),Chardonnay,Efeste,[2020]
US,Small Lot,90,27.0,California,Sierra Foothills,Jim Gordon,@gordone_cellars,Iron Hub 2020 Small Lot Chardonnay (Sierra Foothills),Chardonnay,Iron Hub,[2020]
Australia,Farrago,90,46.0,Victoria,Mornington Peninsula,Joe Czerwinski,@JoeCz,Kooyong 2019 Farrago Chardonnay (Mornington Peninsula),Chardonnay,Kooyong,[2019]
France,Grèves Premier Cru,90,61.0,Burgundy,Beaune,Roger Voss,@vossroger,Domaine Jacques Prieur 2020 Grèves Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur,[2020]
US,Reserve,90,32.0,California,Edna Valley,Matt Kettmann,@mattkettmann,Edna Valley Vineyard 2019 Reserve Chardonnay (Edna Valley),Chardonnay,Edna Valley Vineyard,[2019]
US,Ian's Reserve,87,29.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2019 Ian's Reserve Chardonnay (Willamette Valley),Chardonnay,Chehalem,[2019]
US,Director's,87,18.0,California,Sonoma County,Virginie Boone,@vboone,Francis Coppola 2020 Director's Chardonnay (Sonoma County),Chardonnay,Francis Coppola,[2020]
US,Miljenko's Selection,88,44.0,California,Carneros,Virginie Boone,@vboone,Grgich Hills 2018 Miljenko's Selection Chardonnay (Carneros),Chardonnay,Grgich Hills,[2018]
US,Red Shoulder Ranch,94,40.0,California,Carneros,Virginie Boone,@vboone,Shafer 2021 Red Shoulder Ranch Chardonnay (Carneros),Chardonnay,Shafer,[2021]
US,Old Stones,94,35.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Bergström 2021 Old Stones Chardonnay (Willamette Valley),Chardonnay,Bergström,[2021]
US,Elusive Queen,94,50.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Big Table Farm 2021 Elusive Queen Chardonnay (Willamette Valley),Chardonnay,Big Table Farm,[2021]
US,Charles Heintz Vineyard,90,40.0,California,Sonoma Coast,Virginie Boone,@vboone,Landmark 2018 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,Landmark,[2018]
Argentina,Broquel,86,24.0,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Trapiche 2013 Broquel Chardonnay (Mendoza),Chardonnay,Trapiche,[2013]
France,Vers Cras,88,29.0,Burgundy,Pouilly-Fuissé,Roger Voss,@vossroger,Christophe Cordier 2020 Vers Cras  (Pouilly-Fuissé),Chardonnay,Christophe Cordier,[2020]
US,Apreciação Estate Vineyard,87,25.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Coelho 2020 Apreciação Estate Vineyard Chardonnay (Willamette Valley),Chardonnay,Coelho,[2020]
US,Rochioli Vineyard,93,37.0,California,Russian River Valley,Virginie Boone,@vboone,Longboard 2021 Rochioli Vineyard Chardonnay (Russian River Valley),Chardonnay,Longboard,[2021]
US,West Point,92,32.0,California,Santa Maria Valley,Matt Kettmann,@mattkettmann,Cambria 2021 West Point Chardonnay (Santa Maria Valley),Chardonnay,Cambria,[2021]
US,Summit Reserve,88,22.0,Washington,Columbia Valley (WA),Paul Gregutt,@paulgwine ,Washington Hills 2013 Summit Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Washington Hills,[2013]
US,Stuhlmuller Vineyards Reserve,89,29.0,California,Alexander Valley,Virginie Boone,@vboone,Summers 2019 Stuhlmuller Vineyards Reserve Chardonnay (Alexander Valley),Chardonnay,Summers,[2019]
US,Old Head,88,19.0,California,Dunnigan Hills,Jim Gordon,@gordone_cellars,Matchbook 2020 Old Head Chardonnay (Dunnigan Hills),Chardonnay,Matchbook,[2020]
France,La Maltroie Premier Cru,94,54.0,Burgundy,Chassagne-Montrachet,Roger Voss,@vossroger,Alex Gambal 2020 La Maltroie Premier Cru  (Chassagne-Montrachet),Chardonnay,Alex Gambal,[2020]
Argentina,Coleccion,85,18.0,Other,Calchaquí Valley,Michael Schachner,@wineschach,Michel Torino 2013 Coleccion Chardonnay (Calchaquí Valley),Chardonnay,Michel Torino,[2013]
Argentina,Organica,85,17.0,Mendoza Province,Mendoza,Michael Schachner,@wineschach,Santa Julia 2013 Organica Chardonnay (Mendoza),Chardonnay,Santa Julia,[2013]
Spain,3055,86,15.0,Catalonia,Penedès,Michael Schachner,@wineschach,Jean León 2021 3055 Chardonnay (Penedès),Chardonnay,Jean León,[2021]
US,Reserve Selection,88,29.0,California,Oakville,Virginie Boone,@vboone,C'est Bon 2019 Reserve Selection Chardonnay (Oakville),Chardonnay,C'est Bon,[2019]
US,Walraven Vineyard,88,38.0,California,Anderson Valley,Jim Gordon,@gordone_cellars,Domaine Anderson 2019 Walraven Vineyard Chardonnay (Anderson Valley),Chardonnay,Domaine Anderson,[2019]
France,La Châsse,85,11.0,France Other,Vin de France,Roger Voss,@vossroger,Gabriel Meffre 2022 La Châsse Chardonnay (Vin de France),Chardonnay,Gabriel Meffre,[2022]
US,Lot 11,85,12.0,California,California,Jim Gordon,@gordone_cellars,Grayson 2021 Lot 11 Chardonnay (California),Chardonnay,Grayson,[2021]
Australia,Lost Block,86,22.0,Australia Other,South Eastern Australia,Joe Czerwinski,@JoeCz,Tyrrell's 2012 Lost Block Chardonnay (South Eastern Australia),Chardonnay,Tyrrell's,[2012]
US,Split Rail Vineyard,92,34.0,California,Santa Cruz Mountains,Matt Kettmann,@mattkettmann,Sante Arcangeli 2019 Split Rail Vineyard Chardonnay (Santa Cruz Mountains),Chardonnay,Sante Arcangeli,[2019]
US,Uncovered,92,38.0,Washington,Washington,Sean P. Sullivan,@wawinereport,Sixto 2018 Uncovered Chardonnay (Washington),Chardonnay,Sixto,[2018]
US,Jack's Hill,92,30.0,California,Monterey County,Matt Kettmann,@mattkettmann,Le P'tit Paysan 2019 Jack's Hill Chardonnay (Monterey County),Chardonnay,Le P'tit Paysan,[2019]
US,De Mayo Block,92,35.0,California,Livermore Valley,Jim Gordon,@gordone_cellars,Darcie Kent Vineyards 2018 De Mayo Block Chardonnay (Livermore Valley),Chardonnay,Darcie Kent Vineyards,[2018]
France,Les Vénérables,89,37.0,Burgundy,Chablis,Roger Voss,@vossroger,La Chablisienne 2011 Les Vénérables  (Chablis),Chardonnay,La Chablisienne,[]
US,Reserve,89,43.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Ponzi 2011 Reserve Chardonnay (Willamette Valley),Chardonnay,Ponzi,[]
France,Côte de Léchet Premier Cru,89,42.0,Burgundy,Chablis,Roger Voss,@vossroger,La Chablisienne 2011 Côte de Léchet Premier Cru  (Chablis),Chardonnay,La Chablisienne,[]
Australia,Finisterre,87,29.0,Western Australia,Margaret River,Joe Czerwinski,@JoeCz,Robert Oatley 2017 Finisterre Chardonnay (Margaret River),Chardonnay,Robert Oatley,[2017]
US,Reserve,87,20.0,Washington,Columbia Valley (WA),Sean P. Sullivan,@wawinereport,Waterbrook 2017 Reserve Chardonnay (Columbia Valley (WA)),Chardonnay,Waterbrook,[2017]
US,Elton,87,37.0,Oregon,Eola-Amity Hills,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2017 Elton Chardonnay (Eola-Amity Hills),Chardonnay,Willamette Valley Vineyards,[2017]
France,Réserve Blanc de Blancs Brut,91,103.0,Champagne,Champagne,Roger Voss,@vossroger,De Sousa & Fils NV Réserve Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,De Sousa & Fils,[]
