country,designation,points,price,province,region_1,taster_name,taster_twitter_handle,title,variety,winery,year
US,Vintner's Reserve Wild Child Block,87,44.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Sweet Cheeks 2018 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks,[2018]
US,King Ridge Vineyard,87,51.0,California,Sonoma Coast,Virginie Boone,@vboone,Castello di Amorosa 2017 King Ridge Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Castello di Amorosa,[2017]
US,Hyland,86,41.0,Oregon,McMinnville,Paul Gregutt,@paulgwine ,Erath 2016 Hyland Pinot Noir (McMinnville),Pinot Noir,Erath,[2016]
US,Rosé of,86,18.0,Oregon,Eola-Amity Hills,Paul Gregutt,@paulgwine ,Z'IVO 2021 Rosé of Pinot Noir (Eola-Amity Hills),Pinot Noir,Z'IVO,[2021]
US,Guidotti Vineyard,91,47.0,California,Santa Lucia Highlands,Matt Kettmann,@mattkettmann,Testarossa 2019 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,[2019]
US,Estate Reserve,91,46.0,California,Carmel Valley,Matt Kettmann,@mattkettmann,Albatross Ridge 2018 Estate Reserve Pinot Noir (Carmel Valley),Pinot Noir,Albatross Ridge,[2018]
US,Dutton Ranch,91,35.0,California,Russian River Valley,Virginie Boone,@vboone,Dutton-Goldfield 2020 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield,[2020]
US,Reserve,85,33.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Silvan Ridge 2012 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Silvan Ridge,[2012]
US,Estate Single Vineyard,85,48.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Amity 2012 Estate Single Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Amity,[2012]
US,Papillon Estate,85,28.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Cherry Hill 2012 Papillon Estate Pinot Noir (Willamette Valley),Pinot Noir,Cherry Hill,[2012]
US,Reserva,89,53.0,California,Cole Ranch,Virginie Boone,@vboone,Esterlina 2015 Reserva Pinot Noir (Cole Ranch),Pinot Noir,Esterlina,[2015]
US,Estate,89,43.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2015 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,[2015]
US,Bishop Creek,89,50.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Erath 2015 Bishop Creek Pinot Noir,Pinot Noir,Erath,[2015]
US,Bella Vida Vineyard Unfiltered,92,50.0,Oregon,Dundee Hills,Paul Gregutt,@paulgwine ,J. Christopher 2017 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),Pinot Noir,J. Christopher,[2017]
France,Les Dames Huguettes,87,33.0,Burgundy,Côte de Nuits-Villages,Roger Voss,@vossroger,Domaine Bertagna 2015 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna,[2015]
France,Vieilles Vignes,95,179.0,Burgundy,Clos de Vougeot,Roger Voss,@vossroger,Château de la Tour 2019 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour,[2019]
US,Weber Vineyard,95,44.0,Oregon,Dundee Hills,Paul Gregutt,@paulgwine ,Winderlea 2020 Weber Vineyard Pinot Noir (Dundee Hills),Pinot Noir,Winderlea,[2020]
US,Paragon Vineyard,88,46.0,California,Edna Valley,Roger Voss,@vossroger,Kynsi 2005 Paragon Vineyard Pinot Noir (Edna Valley),Pinot Noir,Kynsi,[]
US,Ridgecrest Vineyards,92,49.0,Oregon,Ribbon Ridge,Paul Gregutt,@paulgwine ,Chehalem 2017 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Pinot Noir,Chehalem,[2017]
US,Evenstad Reserve,92,61.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Domaine Serene 2016 Evenstad Reserve Pinot Noir (Willamette Valley),Pinot Noir,Domaine Serene,[2016]
France,Les Chatelots Premier Cru,92,66.0,Burgundy,Chambolle-Musigny,Roger Voss,@vossroger,Henri de Villamont 2016 Les Chatelots Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont,[2016]
France,Les Feusselottes Premier Cru,92,65.0,Burgundy,Chambolle-Musigny,Roger Voss,@vossroger,Henri de Villamont 2016 Les Feusselottes Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont,[2016]
US,Silver Eagle Vineyard,91,47.0,California,Sonoma Coast,Virginie Boone,@vboone,D.R. Stephens 2020 Silver Eagle Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,D.R. Stephens,[2020]
US,Soul Patch Estate Grown,91,39.0,California,Russian River Valley,Virginie Boone,@vboone,Davis Family 2020 Soul Patch Estate Grown Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,[2020]
US,Starr Ridge Vineyard,91,39.0,California,Russian River Valley,Virginie Boone,@vboone,Davis Family 2020 Starr Ridge Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Davis Family,[2020]
France,Le Clos l'Evêque Premier Cru,91,41.0,Burgundy,Mercurey,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2020 Le Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,[2020]
US,Sims Vineyard,91,39.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Rex Hill 2020 Sims Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Rex Hill,[2020]
US,Steve's Reserve,91,39.0,Oregon,Chehalem Mountains,Paul Gregutt,@paulgwine ,Ruby 2021 Steve's Reserve Pinot Noir (Chehalem Mountains),Pinot Noir,Ruby,[2021]
US,Prince Hill Vineyard Reserve,91,39.0,Oregon,Dundee Hills,Paul Gregutt,@paulgwine ,Tumwater 2020 Prince Hill Vineyard Reserve Pinot Noir (Dundee Hills),Pinot Noir,Tumwater,[2020]
US,Bucher Vineyard,91,36.0,California,Russian River Valley,Virginie Boone,@vboone,Joseph Jewell 2020 Bucher Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell,[2020]
US,Diversité,91,34.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2021 Diversité Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,[2021]
US,Équinoxe,91,34.0,Oregon,Willamette Valley,Paul Gregutt,@paulgwine ,Le Cadeau 2021 Équinoxe Pinot Noir (Willamette Valley),Pinot Noir,Le Cadeau,[2021]
US,Bradley Vineyard,91,36.0,Oregon,Umpqua Valley,Paul Gregutt,@paulgwine ,Paul O'Brien 2020 Bradley Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,Paul O'Brien,[2020]
US,Twin Creeks Estate,93,38.0,California,Edna Valley,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2020 Twin Creeks Estate Pinot Noir (Edna Valley),Pinot Noir,Claiborne & Churchill,[2020]
US,Bien Nacido Vineyard,93,52.0,California,Santa Maria Valley,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2018 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,[2018]
US,Solomon Hills Vineyard,93,43.0,California,Santa Maria Valley,Matt Kettmann,@mattkettmann,Flying Goat Cellars 2018 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Flying Goat Cellars,[2018]
US,Thomas Road,93,59.0,California,Green Valley,Virginie Boone,@vboone,Iron Horse 2019 Thomas Road Pinot Noir (Green Valley),Pinot Noir,Iron Horse,[2019]
US,Bien Nacido Vineyard,93,40.0,California,Santa Maria Valley,Matt Kettmann,@mattkettmann,Sanctuary 2019 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Sanctuary,[2019]
